Item,Date,Price,Percentage Change 
Eggs,01/06/2017,2.123008,0.973335946
Kitchen Roll,01/06/2017,1.603651,4.497487296
Mascara,01/06/2017,8.616473,0.646482615
Soap,01/06/2017,1.3175,5.654648956
Tampons,01/06/2017,2.10582,3.459744897
Toothpaste,01/06/2017,1.647039,2.49010497
Butter,01/07/2017,2.784792,2.069873529
Car Repair,01/07/2017,111.9249,0.430109833
Dog Food,01/07/2017,0.6369396,0.811709619
Eggs,01/07/2017,2.090672,-1.546679728
Kitchen Roll,01/07/2017,1.486139,-7.907201143
Mascara,01/07/2017,8.615893,-0.006731746
Soap,01/07/2017,1.277155,-3.158974439
Tampons,01/07/2017,2.098889,-0.330222322
Toothpaste,01/07/2017,1.541655,-6.835770649
Butter,01/08/2017,2.840042,-1.983990187
Car Repair,01/08/2017,111.3178,-0.545375493
Dog Food,01/08/2017,0.6473611,1.609843409
Eggs,01/08/2017,2.087259,-0.163515884
Kitchen Roll,01/08/2017,1.542157,3.632444686
Mascara,01/08/2017,8.669317,0.616242318
Soap,01/08/2017,1.268502,-0.682143189
Tampons,01/08/2017,1.98772,-5.592789729
Toothpaste,01/08/2017,1.601053,3.7099334
Butter,01/09/2017,3.005063,-5.810512661
Car Repair,01/09/2017,111.3945,0.068854387
Dog Food,01/09/2017,0.6330131,-2.266619759
Eggs,01/09/2017,2.112878,1.212516766
Kitchen Roll,01/09/2017,1.581101,2.463093756
Mascara,01/09/2017,8.784686,1.313296799
Soap,01/09/2017,1.279386,0.85072058
Tampons,01/09/2017,2.028976,2.033340956
Toothpaste,01/09/2017,1.551594,-3.187625113
Butter,01/10/2017,3.129198,-4.130861816
Car Repair,01/10/2017,111.3058,-0.079690367
Dog Food,01/10/2017,0.6480786,2.324640869
Eggs,01/10/2017,2.107319,-0.263794898
Kitchen Roll,01/10/2017,1.668823,5.256519116
Mascara,01/10/2017,8.8593,0.84221101
Soap,01/10/2017,1.311603,2.456307282
Tampons,01/10/2017,2.006694,-1.110383546
Toothpaste,01/10/2017,1.686154,7.980291243
Butter,01/11/2017,3.24614,-3.737123698
Car Repair,01/11/2017,111.774,0.418880956
Dog Food,01/11/2017,0.6475862,-0.07603621
Eggs,01/11/2017,2.11292,0.265083392
Kitchen Roll,01/11/2017,1.78062,6.278543429
Mascara,01/11/2017,8.822107,-0.42158863
Soap,01/11/2017,1.223822,-7.172693415
Tampons,01/11/2017,1.943347,-3.259685481
Toothpaste,01/11/2017,1.585448,-6.351895489
Butter,01/12/2017,3.252218,-0.187237765
Car Repair,01/12/2017,112.5871,0.722196415
Dog Food,01/12/2017,0.640678,-1.078263964
Eggs,01/12/2017,2.124307,0.536033634
Kitchen Roll,01/12/2017,1.8555,4.035569927
Mascara,01/12/2017,8.836117,0.158553808
Soap,01/12/2017,1.243264,1.563786935
Tampons,01/12/2017,1.989167,2.303476782
Toothpaste,01/12/2017,1.57438,-0.703006898
Butter,01/01/2018,3.123708,3.951457129
Car Repair,01/01/2018,114.0263,1.262164957
Dog Food,01/01/2018,0.6455328,0.752060933
Eggs,01/01/2018,2.125809,0.070655454
Kitchen Roll,01/01/2018,1.792734,-3.501132906
Mascara,01/01/2018,8.915274,0.887880731
Soap,01/01/2018,1.28566,3.297605899
Tampons,01/01/2018,1.911532,-4.061402059
Toothpaste,01/01/2018,1.574371,-0.000571657
Butter,01/02/2018,3.154635,-0.990073336
Car Repair,01/02/2018,113.7442,-0.248012646
Dog Food,01/02/2018,0.6471428,0.248785894
Eggs,01/02/2018,2.074029,-2.496589971
Kitchen Roll,01/02/2018,1.76194,-1.747732613
Mascara,01/02/2018,9.304502,4.183222272
Soap,01/02/2018,1.289138,0.269792683
Tampons,01/02/2018,1.912066,0.027927906
Toothpaste,01/02/2018,1.569371,-0.31859898
Butter,01/03/2018,3.14789,0.213812374
Car Repair,01/03/2018,114.0088,0.232087348
Dog Food,01/03/2018,0.6685514,3.202236956
Eggs,01/03/2018,2.073864,-0.007956163
Kitchen Roll,01/03/2018,1.823116,3.355573644
Mascara,01/03/2018,9.055468,-2.750095302
Soap,01/03/2018,1.271645,-1.375619768
Tampons,01/03/2018,1.924026,0.621613221
Toothpaste,01/03/2018,1.585753,1.033073877
Butter,01/04/2018,3.095353,1.668959208
Car Repair,01/04/2018,114.6196,0.532893153
Dog Food,01/04/2018,0.6404167,-4.393186499
Eggs,01/04/2018,2.036715,-1.823966534
Kitchen Roll,01/04/2018,1.766842,-3.185004658
Mascara,01/04/2018,9.269019,2.303922346
Soap,01/04/2018,1.311042,3.005014332
Tampons,01/04/2018,1.905085,-0.994233853
Toothpaste,01/04/2018,1.62274,2.279293048
Butter,01/05/2018,3.237721,-4.599410794
Car Repair,01/05/2018,115.1832,0.489307468
Dog Food,01/05/2018,0.6464444,0.932439047
Eggs,01/05/2018,2.037571,0.042010806
Kitchen Roll,01/05/2018,1.871449,5.589626006
Mascara,01/05/2018,9.141658,-1.393193664
Soap,01/05/2018,1.320422,0.710378955
Tampons,01/05/2018,1.883305,-1.156477575
Toothpaste,01/05/2018,1.614138,-0.532916021
Butter,01/06/2018,3.101289,4.213828183
Car Repair,01/06/2018,115.9247,0.639639352
Dog Food,01/06/2018,0.640083,-0.993839861
Eggs,01/06/2018,2.034928,-0.129881745
Kitchen Roll,01/06/2018,1.889014,0.929850176
Mascara,01/06/2018,9.20917,0.733095382
Soap,01/06/2018,1.436125,8.056610671
Tampons,01/06/2018,1.872489,-0.577626891
Toothpaste,01/06/2018,1.657905,2.639897943
Butter,01/07/2018,3.286581,-5.974676981
Car Repair,01/07/2018,116.1572,0.200159783
Dog Food,01/07/2018,0.6525306,1.907588702
Eggs,01/07/2018,2.036525,0.078417893
Kitchen Roll,01/07/2018,1.914518,1.332136862
Mascara,01/07/2018,9.16,-0.536790393
Soap,01/07/2018,1.305109,-10.03870175
Tampons,01/07/2018,1.928426,2.900655768
Toothpaste,01/07/2018,1.627211,-1.886295016
Butter,01/08/2018,3.278983,0.231182496
Car Repair,01/08/2018,115.8555,-0.260410598
Dog Food,01/08/2018,0.6533473,0.12500243
Eggs,01/08/2018,2.01518,-1.059210592
Kitchen Roll,01/08/2018,1.916071,0.081051276
Mascara,01/08/2018,9.087561,-0.797122572
Soap,01/08/2018,1.459264,10.563887
Tampons,01/08/2018,1.87915,-2.622249421
Toothpaste,01/08/2018,1.649184,1.33235588
Butter,01/09/2018,3.188383,2.763051836
Car Repair,01/09/2018,116.4598,0.518891497
Dog Food,01/09/2018,0.6619651,1.30185111
Eggs,01/09/2018,2.027273,0.596515615
Kitchen Roll,01/09/2018,1.855245,-3.278596627
Mascara,01/09/2018,9.225825,1.498662721
Soap,01/09/2018,1.320336,-10.52217011
Tampons,01/09/2018,1.920598,2.158077849
Toothpaste,01/09/2018,1.641544,-0.465415487
Butter,01/10/2018,3.247269,-1.846892296
Car Repair,01/10/2018,115.9378,-0.450241423
Dog Food,01/10/2018,0.6721212,1.511051876
Eggs,01/10/2018,2.032828,0.273264634
Kitchen Roll,01/10/2018,1.85774,0.13430297
Mascara,01/10/2018,9.358186,1.414387361
Soap,01/10/2018,1.413568,6.59550867
Tampons,01/10/2018,1.868299,-2.799284269
Toothpaste,01/10/2018,1.719589,4.538584511
Butter,01/11/2018,3.064788,5.619522128
Car Repair,01/11/2018,116.4112,0.406661902
Dog Food,01/11/2018,0.6762332,0.608074256
Eggs,01/11/2018,2.037857,0.246778847
Kitchen Roll,01/11/2018,1.914324,2.955821481
Mascara,01/11/2018,9.113762,-2.681922131
Soap,01/11/2018,1.565526,9.706513977
Tampons,01/11/2018,1.947563,4.069906853
Toothpaste,01/11/2018,1.687483,-1.902596945
Butter,01/12/2018,3.285485,-7.201052732
Car Repair,01/12/2018,116.7617,0.30018405
Dog Food,01/12/2018,0.6762552,0.00325321
Eggs,01/12/2018,2.03875,0.043801349
Kitchen Roll,01/12/2018,1.838276,-4.136919592
Mascara,01/12/2018,9.183,0.753980181
Soap,01/12/2018,1.293176,-21.0605517
Tampons,01/12/2018,1.872764,-3.994043029
Toothpaste,01/12/2018,1.686364,-0.066355781
Butter,01/01/2019,3.287004,-0.046233661
